record_key,doi,author_name,decision,reviewed_at,review_refresh_id,division,division_rule,year
doi:10.1002/ieam.1633,10.1002/ieam.1633,Riordan D.,dwr,2026-06-15 17:32:49,2026-06-15,SWP - Integrated Science and Engineering,5,2015
doi:10.1007/s00338-024-02486-9,10.1007/s00338-024-02486-9,Nelson P.,dwr,2026-06-15 17:32:59,2026-06-15,SWP - Integrated Science and Engineering,5,2017
doi:10.1029/2025jg009515,10.1029/2025JG009515,Flynn T.M.,dwr,2026-06-15 17:33:03,2026-06-15,SWP - Integrated Science and Engineering,5,2023
doi:10.1080/00288306.1965.10423195,10.1080/00288306.1965.10423195,Martin R.C.,dwr,2026-06-15 17:38:13,2026-06-15,Unknown,5,1965
doi:10.1002/esp.1579,10.1002/esp.1579,Legleiter C.J.,dwr,2026-06-15 17:38:25,2026-06-15,Unknown,5,2008
doi:10.1002/esp.1888,10.1002/esp.1888,Henderson A.,dwr,2026-06-15 17:38:39,2026-06-15,Planning,5,2009
doi:10.1002/hyp.7703,10.1002/hyp.7703,Hsu E.C.,dwr,2026-06-15 17:39:09,2026-06-15,SWP - Modeling Support Office,5,2010
doi:10.1002/ird.678,10.1002/ird.678,Roos M.,dwr,2026-06-15 17:39:20,2026-06-15,Unknown,5,2011
doi:10.1002/j.1551-8833.2008.tb08128.x,10.1002/j.1551-8833.2008.tb08128.x,Schwarz A.,dwr,2026-06-15 17:40:12,2026-06-15,Unknown,5,2008
doi:10.1002/jsl.3000060405,10.1002/jsl.3000060405,Neff F.,dwr,2026-06-15 17:40:22,2026-06-15,Unknown,5,1990
doi:10.1002/jwmg.187,10.1002/jwmg.187,Quickert P.,dwr,2026-06-15 17:40:36,2026-06-15,Unknown,5,2011
doi:10.1002/jwmg.187,10.1002/jwmg.187,Patterson L.,dwr,2026-06-15 17:40:38,2026-06-15,Unknown,bulk_pre2012,2011
doi:10.1002/ldr.814,10.1002/ldr.814,Karajeh F.,dwr,2026-06-15 17:40:59,2026-06-15,Unknown,bulk_pre2012,2008
doi:10.1002/vzj2.70115,10.1002/vzj2.70115,Sadeghi M.,dwr,2026-06-15 17:41:18,2026-06-15,Sustainable Groundwater Management,5,2026
doi:10.1007/bf00477254,10.1007/BF00477254,Heggli M.,dwr,2026-06-15 17:41:37,2026-06-15,Unknown,bulk_pre2012,1995
doi:10.1007/bf01985483,10.1007/BF01985483,Nickels W.C.,dwr,2026-06-15 17:41:54,2026-06-15,Unknown,bulk_pre2012,1980
doi:10.1007/bf01985483,10.1007/BF01985483,Gaston G.N.,dwr,2026-06-15 17:41:54,2026-06-15,Unknown,bulk_pre2012,1980
doi:10.1007/bf02346960,10.1007/BF02346960,Boles G.,dwr,2026-06-15 17:42:04,2026-06-15,Unknown,bulk_pre2012,1978
doi:10.1007/bf02732915,10.1007/BF02732915,Feyrer F.,dwr,2026-06-15 17:42:17,2026-06-15,Unknown,bulk_pre2012,2005
doi:10.1007/bf02732915,10.1007/BF02732915,Nobriga M.,dwr,2026-06-15 17:42:17,2026-06-15,Unknown,bulk_pre2012,2005
