original,division
Bond Accountability Office,Bond Accountability Office
Business Services,Business Services
Business Services Office,Business Services
Business Services Office0,Business Services
California Energy Bond Office,California Energy Bond Office
CEBO,California Energy Bond Office
CERS,California Energy Bond Office
California Water Commission ,California Water Commission 
Central Valley Flood Protection Board,Central Valley Flood Protection Board
CVFPB,Central Valley Flood Protection Board
Civil Rights,Civil Rights
Office of Civil Rights,Civil Rights
Office of Workforce Equality,Civil Rights
Executive,Executive
HLPCO,Executive
Fiscal,Fiscal Services
Fiscal Services,Fiscal Services
Flood Management,Flood Operations
Flood Operations,Flood Operations
DFPI,Flood Planning and Improvements
Flood Planning & Improvements,Flood Planning and Improvements
Flood Planning and Improvements,Flood Planning and Improvements
Human Resources,Human Resources
Human Resources Office,Human Resources
FESSRO,Multibenefit Initiatives
Intg. Regional Water Mgmt.,Multibenefit Initiatives
Multi Benefit Initiatives,Multibenefit Initiatives
Multi Benefit Initiatives0,Multibenefit Initiatives
Multibenefit Initiatives,Multibenefit Initiatives
Statewide Intg. Water Mgmt.,Multibenefit Initiatives
North Central Reg. Office,North Central Region Office
Northern Reg. Office,Northern Region Office
Legal,Office of General Counsel
Office of General Counsel,Office of General Counsel
Division of Planning,Planning
Planning,Planning
Project Service Office,Project Service Office
Public Affairs Off.,Public Affairs Office
Public Affairs Office,Public Affairs Office
Regional Assistance,Regional Assistance
Safety of Dams,Safety of Dams
Salton Sea Restoration Office,Salton Sea Restoration Office
South Central Reg. Office,South Central Region Office
Southern Reg. Office,Southern Region Office
ESSRO,Statewide Energy
Statewide Energy,Statewide Energy
SWEO,Statewide Energy
SGMO,Sustainable Groundwater Management
Sustainable Groundwater Management,Sustainable Groundwater Management
SWP - Analysis Office,SWP - Analysis Office
SWPAO,SWP - Analysis Office
SWP - Delta Conveyance,SWP - Delta Conveyance
Delta Conveyance Office,SWP - Delta Conveyance Office
Engineering,SWP - Engineering
SWP - Engineering,SWP - Engineering
Environmental Services,SWP - Integrated Science and Engineering
Environmental Svcs.,SWP - Integrated Science and Engineering
Integrated Science and Engineering,SWP - Integrated Science and Engineering
SWP - Integrated Science and Engineering,SWP - Integrated Science and Engineering
SWP - Model Support,SWP - Modeling Support Office
Bay-Delta Office,SWP - Modeling Support Office
O&M ADC1,SWP - Operations and Maintenance
O&M ADME,SWP - Operations and Maintenance
O&M ADMN,SWP - Operations and Maintenance
O&M Delta,SWP - Operations and Maintenance
O&M HQ,SWP - Operations and Maintenance
O&M JOC,SWP - Operations and Maintenance
O&M Oroville,SWP - Operations and Maintenance
O&M POM,SWP - Operations and Maintenance
O&M San Joaquin,SWP - Operations and Maintenance
O&M San Luis,SWP - Operations and Maintenance
O&M Southern,SWP - Operations and Maintenance
SWP - Operations and Maintenance,SWP - Operations and Maintenance
SWP - Power Compliance,SWP - Power Compliance
SWP Pwr. & Risk Office,SWP - Power Compliance
SWPPCO,SWP - Power Compliance
Technology Services,Technology Services
Unknown,Unknown
