doi,doi_url,year,title,division,new
10.1002/jwmg.70157,https://doi.org/10.1002/jwmg.70157,2026,Seasonal and decadal changes in winter body condition of four sympatric diving ducks,SWP - Integrated Science and Engineering,FALSE
10.1002/qj.70019,https://doi.org/10.1002/qj.70019,2026,Impacts of atmospheric river reconnaissance dropsondes on ECMWF Integrated Forecasting System precipitation forecasts,Flood Operations,FALSE
10.1002/rra.70156,https://doi.org/10.1002/rra.70156,2026,Non-Physical Barrier Design and Environmental Conditions Alter Routing and Survival of Juvenile Chinook Salmon (Oncorhynchus tshawytscha) in the Sacramento-San Joaquin River Delta,Regional Assistance,FALSE
10.1002/vzj2.70065,https://doi.org/10.1002/vzj2.70065,2026,Soil structure changes under reduced tillage and cover cropping enhance carbon mineralization in Mediterranean croplands,Regional Assistance,FALSE
10.1007/s11356-026-37659-2,https://doi.org/10.1007/s11356-026-37659-2,2026,Impact of fog on California waterfowl flight activity: historical and modern insights into effects post-Clean Air Act,,TRUE
10.1007/s12237-026-01686-6,https://doi.org/10.1007/s12237-026-01686-6,2026,Pulsed Zooplankton Production in Seasonally Managed Wetlands Could Supplement Food Availability for a Threatened Fishery in the San Francisco Estuary,SWP - Integrated Science and Engineering,FALSE
10.1007/s13253-024-00649-3,https://doi.org/10.1007/s13253-024-00649-3,2026,Stopping Rule Sampling to Monitor and Protect Endangered Species,SWP - Integrated Science and Engineering,FALSE
10.1016/j.desal.2025.119674,https://doi.org/10.1016/j.desal.2025.119674,2026,"Pilot-scale membrane distillation modeling: Validation, comparison, and consensus",Multibenefit Initiatives,FALSE
10.1016/j.fishres.2026.107689,https://doi.org/10.1016/j.fishres.2026.107689,2026,Retention rate and biological effects of Floy and FRyID tags on juvenile longfin smelt (Spirinchus thaleichthys),SWP - Integrated Science and Engineering,FALSE
10.1029/2025gh001627,https://doi.org/10.1029/2025gh001627,2026,Statewide Intensification of Harmful Algal Blooms Across California Lakes and Reservoirs,SWP - Integrated Science and Engineering,FALSE
10.1029/2025jd044818,https://doi.org/10.1029/2025jd044818,2026,Evaluation of GFSv16 for Near-Real-Time Data Impact Studies During the Atmospheric River Reconnaissance Program 2022,Flood Operations,FALSE
10.1029/2025jd045006,https://doi.org/10.1029/2025jd045006,2026,The Sierra Barrier Jet and Distribution of Precipitation in Northern California,Flood Operations,FALSE
10.1038/s41597-026-06625-5,https://doi.org/10.1038/s41597-026-06625-5,2026,A Global High-Resolution Precipitation Climate Record: PERSIANN-CCS-CDR Version 2.0,Flood Operations,FALSE
10.1071/wf25161,https://doi.org/10.1071/wf25161,2026,Probabilistic prediction of post-fire debris-flow runout and implications for prefire assessments of post-fire hazards,Flood Operations,FALSE
10.1111/rec.70425,https://doi.org/10.1111/rec.70425,2026,Investigating the efficacy of tidal wetland restoration in enhancing aquatic food web resources for native fishes,SWP - Integrated Science and Engineering,FALSE
10.3354/esr01471,https://doi.org/10.3354/esr01471,2026,Morphometric variation and sexual dimorphism of endangered longfin smelt Spirinchus thaleichthys in the San Francisco Estuary,SWP - Integrated Science and Engineering,FALSE
10.5194/hess-30-1719-2026,https://doi.org/10.5194/hess-30-1719-2026,2026,Leveraging normalized data to improve point-scale estimates of precipitation-temperature scaling rates,Flood Operations,FALSE
10.1002/eap.3079,https://doi.org/10.1002/eap.3079,2025,Unfriendly neighbors: When facilitation does not contribute to restoration success in tidal marsh,,TRUE
10.1002/eap.70146,https://doi.org/10.1002/eap.70146,2025,Floodplain inundation and lateral connectivity promote productivity in a managed river ecosystem,,TRUE
10.1002/ecs2.70391,https://doi.org/10.1002/ecs2.70391,2025,Ephemeral flows and vegetation productivity: Insights for desert conservation,Sustainable Groundwater Management,FALSE
10.1002/qj.5049,https://doi.org/10.1002/qj.5049,2025,An overview of drifting-buoy deployments in atmospheric river reconnaissance from 2019 to 2024,Flood Operations,FALSE
10.1007/s00382-025-07583-1,https://doi.org/10.1007/s00382-025-07583-1,2025,Heresy in ENSO teleconnections: atmospheric rivers as disruptors of canonical seasonal precipitation anomalies in the Southwestern US,Flood Operations,FALSE
