canonical,country,state,resolved,status,error
34North,NA,NA,TRUE,unknown,NA
A. O. Kovalevsky Institute of Biology of the Southern Seas,Russia,NA,TRUE,resolved,NA
Aalborg University,Denmark,NA,TRUE,resolved,NA
Aarhus University,Denmark,NA,TRUE,resolved,NA
Academia Sinica,Taiwan,NA,TRUE,resolved,NA
AECOM,United States,NA,TRUE,resolved,NA
Aerospace Information Research Institute,China,NA,TRUE,resolved,NA
Agencia Estatal de Meteorología,Spain,NA,TRUE,resolved,NA
"Agência Regional para o Desenvolvimento da Investigação, Tecnologia e Inovação",Portugal,NA,TRUE,resolved,NA
Agroscope,Switzerland,NA,TRUE,resolved,NA
Agua DB Ltd.,NA,NA,TRUE,unknown,NA
Akima Systems Engineering,United States,NA,TRUE,resolved,NA
Alabama Water Institute,United States,Alabama,TRUE,resolved,NA
Alameda Flood Control District,United States,California,TRUE,resolved,NA
Alaska Department of Fish and Game,United States,Alaska,TRUE,resolved,NA
All Hands Ecology,NA,NA,TRUE,unknown,NA
Allensworth Progressive Association,United States,California,TRUE,resolved,NA
Alliance for Global Water Adaptation,United States,NA,TRUE,resolved,NA
Altai State University,Russia,NA,TRUE,resolved,NA
American Rivers,United States,NA,TRUE,resolved,NA
"Analytical Imaging and Geophysics, LLC",United States,Colorado,TRUE,resolved,NA
Anchor QEA,United States,NA,TRUE,resolved,NA
Angelo State University,United States,Texas,TRUE,resolved,NA
Antioch University New England,United States,New Hampshire,TRUE,resolved,NA
Applied Marine Sciences,United States,California,TRUE,resolved,NA
AquaMem Consultants,NA,NA,TRUE,unknown,NA
Aquastill BV,Netherlands,NA,TRUE,resolved,NA
Arba Minch College of Health Sciences,Ethiopia,NA,TRUE,resolved,NA
Argonne National Laboratory,United States,Illinois,TRUE,resolved,NA
Arizona Department of Water Resources,United States,Arizona,TRUE,resolved,NA
Arizona State University,United States,Arizona,TRUE,resolved,NA
"ATSI, Inc.",NA,NA,TRUE,unknown,NA
ATUK Consultoría Estratégica,NA,NA,TRUE,unknown,NA
Auburn University,United States,Alabama,TRUE,resolved,NA
Audubon Canyon Ranch,United States,California,TRUE,resolved,NA
Australian Antarctic Division,Australia,NA,TRUE,resolved,NA
Australian Museum,Australia,NA,TRUE,resolved,NA
Australian National University,Australia,NA,TRUE,resolved,NA
Autonomous University of Barcelona,Spain,NA,TRUE,resolved,NA
"Axiom Consultants, Inc.",NA,NA,TRUE,unknown,NA
Bachand and Associates,United States,California,TRUE,resolved,NA
Balaton Limnological Research Institute,Hungary,NA,TRUE,resolved,NA
"Bannister Engineering, LLC",NA,NA,TRUE,unknown,NA
Barcelona Supercomputing Center,Spain,NA,TRUE,resolved,NA
Bay Area Environmental Research Institute,United States,California,TRUE,resolved,NA
Beijing Metstar Radar Co. Ltd.,China,NA,TRUE,resolved,NA
Beijing Normal University,China,NA,TRUE,resolved,NA
Ben-Gurion University of the Negev,Israel,NA,TRUE,resolved,NA
Bend Genetics,United States,Oregon,TRUE,resolved,NA
"Bend Genetics, LLC",United States,Oregon,TRUE,resolved,NA
"Best Environmental Subsurface Technologies, Inc.",NA,NA,TRUE,unknown,NA
Bill & Melinda Gates Foundation,United States,Washington,TRUE,resolved,NA
Biodiversity Pathways Ltd.,NA,NA,TRUE,unknown,NA
Biodiversity Research Institute,United States,Maine,TRUE,resolved,NA
Black Rock Forest,United States,New York,TRUE,resolved,NA
Blue Forest,United States,California,TRUE,resolved,NA
Blue Forest Conservation,United States,California,TRUE,resolved,NA
Boise State University,United States,Idaho,TRUE,resolved,NA
BOKU University,Austria,NA,TRUE,resolved,NA
Boyle Engineering Corporation,NA,NA,TRUE,unknown,NA
Brigham and Women's Hospital,United States,Massachusetts,TRUE,resolved,NA
British Antarctic Survey,United Kingdom,NA,TRUE,resolved,NA
British Telecommunications,United Kingdom,NA,TRUE,resolved,NA
Broadview Water District,NA,NA,TRUE,unknown,NA
Bronx Community College,United States,New York,TRUE,resolved,NA
Brown and Caldwell,NA,NA,TRUE,unknown,NA
Buena Vista Water Storage District,United States,California,TRUE,resolved,NA
Bureau of Meteorology Australia,Australia,NA,TRUE,resolved,NA
Bureau of Reclamation,United States,NA,TRUE,resolved,NA
Burns and Roe Services Corp,NA,NA,TRUE,unknown,NA
Büro für faunistische Fachfragen,Germany,NA,TRUE,resolved,NA
Cabrillo College,United States,California,TRUE,resolved,NA
Cairo University,Egypt,NA,TRUE,resolved,NA
CALFED Bay-Delta Program,United States,California,TRUE,resolved,NA
California Academy of Sciences,United States,California,TRUE,resolved,NA
California Association of Resource Conservation Districts,United States,California,TRUE,resolved,NA
California Botanic Garden,United States,California,TRUE,resolved,NA
California Department of Fish and Wildlife,United States,California,TRUE,resolved,NA
California Department of Parks and Recreation,United States,California,TRUE,resolved,NA
California Department of Transportation,United States,California,TRUE,resolved,NA
California Department of Water Resources,United States,California,TRUE,resolved,NA
California Farmer Justice Collaborative,United States,California,TRUE,resolved,NA
California Geological Survey,United States,California,TRUE,resolved,NA
California Institute of Technology,United States,California,TRUE,resolved,NA
California Natural Resources Agency,United States,California,TRUE,resolved,NA
California Office of Environmental Health Hazard Assessment,United States,California,TRUE,resolved,NA
"California Polytechnic State University, San Luis Obispo",United States,California,TRUE,resolved,NA
California Regional Water Quality Control Board,United States,California,TRUE,resolved,NA
California Rice Commission,United States,California,TRUE,resolved,NA
California Sea Grant,United States,California,TRUE,resolved,NA
"California State Polytechnic University, Humboldt",United States,California,TRUE,resolved,NA
"California State University, Bakersfield",United States,California,TRUE,resolved,NA
"California State University, Chico",United States,California,TRUE,resolved,NA
"California State University, East Bay",United States,California,TRUE,resolved,NA
"California State University, Fresno",United States,California,TRUE,resolved,NA
"California State University, Fullerton",United States,California,TRUE,resolved,NA
"California State University, Long Beach",United States,California,TRUE,resolved,NA
"California State University, Monterey Bay",United States,California,TRUE,resolved,NA
"California State University, Sacramento",United States,California,TRUE,resolved,NA
"California State University, San Bernardino",United States,California,TRUE,resolved,NA
"California State University, San Diego",United States,California,TRUE,resolved,NA
"California State University, San Francisco",United States,California,TRUE,resolved,NA
"California State University, San Jose",United States,California,TRUE,resolved,NA
"California State University, San Marcos",United States,California,TRUE,resolved,NA
"California State University, Sonoma",United States,California,TRUE,resolved,NA
"California State University, Stanislaus",United States,California,TRUE,resolved,NA
California State Water Resources Control Board,United States,California,TRUE,resolved,NA
California Strategic Growth Council,United States,California,TRUE,resolved,NA
California Trout,United States,California,TRUE,resolved,NA
Camalie Networks,United States,California,TRUE,resolved,NA
Capital Normal University,China,NA,TRUE,resolved,NA
Cardiff University,United Kingdom,NA,TRUE,resolved,NA
Carleton University,Canada,NA,TRUE,resolved,NA
Carlos H. Parra and Associates,NA,NA,TRUE,unknown,NA
Carnegie Mellon University,United States,Pennsylvania,TRUE,resolved,NA
Cawthron Institute,New Zealand,NA,TRUE,resolved,NA
"CDM Smith, Inc.",United States,NA,TRUE,resolved,NA
Ceará Meteorology and Water Resources Foundation,Brazil,NA,TRUE,resolved,NA
Center for Scientific Research and Higher Education,Mexico,NA,TRUE,resolved,NA
Central Asia Sub-Regional Office,NA,NA,TRUE,unknown,NA
Central California Environmental Justice Network,United States,California,TRUE,resolved,NA
Central European University,Hungary,NA,TRUE,resolved,NA
Central Valley Children's Partnership,United States,California,TRUE,resolved,NA
Central Valley Joint Venture,United States,NA,TRUE,resolved,NA
Central Valley Leadership Round Table,United States,California,TRUE,resolved,NA
Centre d'Études Biologiques de Chizé,France,NA,TRUE,resolved,NA
Centre d'Études Nordiques,Canada,NA,TRUE,resolved,NA
Centre for Advanced Process Technology for Urban Resource Recovery,Belgium,NA,TRUE,resolved,NA
Centre National d'Etudes Spatiales,France,NA,TRUE,resolved,NA
Centre National de la Recherche Scientifique,France,NA,TRUE,resolved,NA
Centro de Ciencia del Clima y la Resiliencia,Chile,NA,TRUE,resolved,NA
Centro de Investigación en Ecosistemas de la Patagonia,Chile,NA,TRUE,resolved,NA
Centro de Investigación Esquel de Montaña y Estepa Patagónica,Argentina,NA,TRUE,resolved,NA
Centro Euro-Mediterraneo sui Cambiamenti Climatici,Italy,NA,TRUE,resolved,NA
CH2M Hill,United States,NA,TRUE,resolved,NA
Chapman University,United States,California,TRUE,resolved,NA
"Cheva Consulting, LLC",NA,NA,TRUE,unknown,NA
CHI Environmental Engineering Corp,NA,NA,TRUE,unknown,NA
Chiba University,Japan,NA,TRUE,resolved,NA
Chicago Botanic Garden,United States,Illinois,TRUE,resolved,NA
China Agricultural University,China,NA,TRUE,resolved,NA
China University of Geosciences,China,NA,TRUE,resolved,NA
China University of Mining and Technology,China,NA,TRUE,resolved,NA
Chinese Academy of Agricultural Sciences,China,NA,TRUE,resolved,NA
Chinese Academy of Sciences,China,NA,TRUE,resolved,NA
Chinese Academy of Tropical Agricultural Sciences,China,NA,TRUE,resolved,NA
Chinese University of Hong Kong,China,NA,TRUE,resolved,NA
Chosun College of Science and Technology,South Korea,NA,TRUE,resolved,NA
CIBIO - Centro de Investigação em Biodiversidade e Recursos Genéticos,Portugal,NA,TRUE,resolved,NA
CIEMAT-Plataforma Solar de Almería,Spain,NA,TRUE,resolved,NA
CIIMAR - Interdisciplinary Centre of Marine and Environmental Research,Portugal,NA,TRUE,resolved,NA
CIMA Research Foundation,Italy,NA,TRUE,resolved,NA
City of Roseville,United States,California,TRUE,resolved,NA
City of Walnut Creek,United States,California,TRUE,resolved,NA
City University of New York,United States,New York,TRUE,resolved,NA
Clemson University,United States,South Carolina,TRUE,resolved,NA
Coastal Raptors,NA,NA,TRUE,unknown,NA
Colby College,United States,Maine,TRUE,resolved,NA
Collaborative Fisheries Research West,United States,California,TRUE,resolved,NA
Collier Consulting,NA,NA,TRUE,unknown,NA
Colorado School of Mines,United States,Colorado,TRUE,resolved,NA
Colorado State University,United States,Colorado,TRUE,resolved,NA
Columbia Environmental Research Center,United States,Missouri,TRUE,resolved,NA
Columbia University,United States,New York,TRUE,resolved,NA
Commonwealth Scientific and Industrial Research Organisation,Australia,NA,TRUE,resolved,NA
Community Alliance with Family Farmers,United States,California,TRUE,resolved,NA
Community Water Center,United States,California,TRUE,resolved,NA
Connecticut Agricultural Experiment Station,United States,Connecticut,TRUE,resolved,NA
Connecticut Department of Environmental Protection,United States,Connecticut,TRUE,resolved,NA
Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,NA,TRUE,resolved,NA
Consejo Superior de Investigaciones Científicas,Spain,NA,TRUE,resolved,NA
Conservation Biology Institute,United States,Oregon,TRUE,resolved,NA
Conservation International,United States,NA,TRUE,resolved,NA
Conservation Science Partners,United States,California,TRUE,resolved,NA
Consiglio Nazionale delle Ricerche,Italy,NA,TRUE,resolved,NA
Consortium of Universities for the Advancement of Hydrologic Science,United States,NA,TRUE,resolved,NA
Contra Costa County,United States,California,TRUE,resolved,NA
Contra Costa Water District,United States,California,TRUE,resolved,NA
Cooperative Institute for Research in Environmental Sciences,United States,Colorado,TRUE,resolved,NA
Cooperative Institute for Research in the Atmosphere,United States,Colorado,TRUE,resolved,NA
Copernicus Institute of Sustainable Development,Netherlands,NA,TRUE,resolved,NA
Cornell University,United States,New York,TRUE,resolved,NA
Cramer Fish Sciences,United States,Oregon,TRUE,resolved,NA
CSIC - Instituto de Agricultura Sostenible,Spain,NA,TRUE,resolved,NA
Danish Meteorological Institute,Denmark,NA,TRUE,resolved,NA
Dartmouth College,United States,New Hampshire,TRUE,resolved,NA
Davids Engineering,United States,California,TRUE,resolved,NA
Delft University of Technology,Netherlands,NA,TRUE,resolved,NA
Delta Juvenile Fish Monitoring Program,United States,California,TRUE,resolved,NA
Delta Science Program,United States,California,TRUE,resolved,NA
Delta Stewardship Council,United States,California,TRUE,resolved,NA
Delta Waterfowl Foundation,Canada,NA,TRUE,resolved,NA
Deltares,Netherlands,NA,TRUE,resolved,NA
Deltares USA,United States,NA,TRUE,resolved,NA
Desert Research Institute,United States,Nevada,TRUE,resolved,NA
Deutscher Wetterdienst,Germany,NA,TRUE,resolved,NA
Digamma.ai,NA,NA,TRUE,unknown,NA
Drexel University,United States,Pennsylvania,TRUE,resolved,NA
Dubois Chemicals,NA,NA,TRUE,unknown,NA
Ducks Unlimited,United States,NA,TRUE,resolved,NA
Ducks Unlimited Canada,Canada,NA,TRUE,resolved,NA
Duke University,United States,North Carolina,TRUE,resolved,NA
Earth Sciences New Zealand,New Zealand,NA,TRUE,resolved,NA
East Bay Municipal Utility District,United States,California,TRUE,resolved,NA
East China University of Science and Technology,China,NA,TRUE,resolved,NA
Eastern Municipal Water District,United States,California,TRUE,resolved,NA
Eawag - Swiss Federal Institute of Aquatic Science and Technology,Switzerland,NA,TRUE,resolved,NA
ECOBIO,France,NA,TRUE,resolved,NA
École Normale Supérieure de Lyon,France,NA,TRUE,resolved,NA
École Polytechnique Fédérale de Lausanne,Switzerland,NA,TRUE,resolved,NA
"Ecolotree, Inc.",United States,Iowa,TRUE,resolved,NA
Ecometric Research,NA,NA,TRUE,unknown,NA
"ECORP Consulting, Inc.",United States,California,TRUE,resolved,NA
Ecosystem Investment Partners,United States,Maryland,TRUE,resolved,NA
Edith Cowan University,Australia,NA,TRUE,resolved,NA
Edward Via College of Osteopathic Medicine,United States,Virginia,TRUE,resolved,NA
El-Mansoura University,Egypt,NA,TRUE,resolved,NA
Electric Power Research Institute,United States,NA,TRUE,resolved,NA
Elkhorn Slough National Estuarine Research Reserve,United States,California,TRUE,resolved,NA
Embry-Riddle Aeronautical University,United States,Florida,TRUE,resolved,NA
Emory University,United States,Georgia,TRUE,resolved,NA
"Energy and Environmental Economics, Inc.",United States,California,TRUE,resolved,NA
Engineering and Environment Lda,Portugal,NA,TRUE,resolved,NA
Environment and Climate Change Canada,Canada,NA,TRUE,resolved,NA
Environmental Defense Fund,United States,New York,TRUE,resolved,NA
Environmental Science Associates,United States,California,TRUE,resolved,NA
ERA Economics,United States,California,TRUE,resolved,NA
"Erler and Kalinowski, Inc.",United States,California,TRUE,resolved,NA
ESSA Technologies Ltd.,Canada,NA,TRUE,resolved,NA
ETH Zürich,Switzerland,NA,TRUE,resolved,NA
Euro-Mediterranean Center on Climate Change,Italy,NA,TRUE,resolved,NA
European Centre for Medium-Range Weather Forecasts,United Kingdom,NA,TRUE,resolved,NA
European Space Agency,NA,NA,TRUE,unknown,NA
Ewha Womans University,South Korea,NA,TRUE,resolved,NA
Feather River Coordinated Resource Management,United States,California,TRUE,resolved,NA
"Federal University of Agriculture, Abeokuta",Nigeria,NA,TRUE,resolved,NA
"Federal University of Technology, Akure",Nigeria,NA,TRUE,resolved,NA
"Federal University of Technology, Minna",Nigeria,NA,TRUE,resolved,NA
Ferdowsi University of Mashhad,Iran,NA,TRUE,resolved,NA
Field Engine Wildlife Research and Management,NA,NA,TRUE,unknown,NA
Finnish Environment Institute,Finland,NA,TRUE,resolved,NA
Finnish Meteorological Institute,Finland,NA,TRUE,resolved,NA
First Street,United States,New York,TRUE,resolved,NA
FISHBIO,United States,California,TRUE,resolved,NA
Fisheries and Oceans Canada,Canada,NA,TRUE,resolved,NA
Fondazione Edmund Mach,Italy,NA,TRUE,resolved,NA
Forest Trends,United States,NA,TRUE,resolved,NA
Foshan Emergency Early Warning Release Center,China,NA,TRUE,resolved,NA
Foshan Tornado Research Center,China,NA,TRUE,resolved,NA
Free University of Bozen-Bolzano,Italy,NA,TRUE,resolved,NA
Freie Universität Berlin,Germany,NA,TRUE,resolved,NA
Fudan University,China,NA,TRUE,resolved,NA
"Fugro USA Land, Inc.",United States,NA,TRUE,resolved,NA
Fundação Getulio Vargas,Brazil,NA,TRUE,resolved,NA
Fundação Universidade Federal de Rondônia,Brazil,NA,TRUE,resolved,NA
GEI Consultants,United States,NA,TRUE,resolved,NA
Geomatrix Consultants,United States,California,TRUE,resolved,NA
GeoPentech,United States,California,TRUE,resolved,NA
George Mason University,United States,Virginia,TRUE,resolved,NA
George Washington University,United States,NA,TRUE,resolved,NA
Georgia Institute of Technology,United States,Georgia,TRUE,resolved,NA
Geoscience Support Services,United States,California,TRUE,resolved,NA
Geosyntec Consultants,United States,NA,TRUE,resolved,NA
German Environment Agency,Germany,NA,TRUE,resolved,NA
German Weather Service,Germany,NA,TRUE,resolved,NA
GFZ Helmholtz Centre for Geosciences,Germany,NA,TRUE,resolved,NA
Ghent University,Belgium,NA,TRUE,resolved,NA
Goethe-Universität Frankfurt am Main,Germany,NA,TRUE,resolved,NA
GoFundMe,United States,California,TRUE,resolved,NA
Grand Teton National Park,United States,Wyoming,TRUE,resolved,NA
Grassland Water District,NA,NA,TRUE,unknown,NA
Green Lake National Fish Hatchery,United States,Wisconsin,TRUE,resolved,NA
GreenLatinos,United States,NA,TRUE,resolved,NA
GreenWater Laboratories,United States,Florida,TRUE,resolved,NA
Gwangju Institute of Science and Technology,South Korea,NA,TRUE,resolved,NA
H.T. Harvey & Associates,United States,California,TRUE,resolved,NA
Hacettepe University,Turkey,NA,TRUE,resolved,NA
Hainan University,China,NA,TRUE,resolved,NA
Hancock Wildlife Foundation,Canada,NA,TRUE,resolved,NA
Hangzhou Meteorological Bureau,China,NA,TRUE,resolved,NA
Hanyang University,South Korea,NA,TRUE,resolved,NA
Harvard Forest,United States,Massachusetts,TRUE,resolved,NA
Harvard University,United States,Massachusetts,TRUE,resolved,NA
Hawai'i Pacific University,United States,Hawaii,TRUE,resolved,NA
Hawk Mountain Sanctuary,United States,Pennsylvania,TRUE,resolved,NA
Hebrew University of Jerusalem,Israel,NA,TRUE,resolved,NA
Helmholtz Centre for Environmental Research,Germany,NA,TRUE,resolved,NA
Helmholtz-Zentrum Hereon,Germany,NA,TRUE,resolved,NA
Hohai University,China,NA,TRUE,resolved,NA
Hokkaido University,Japan,NA,TRUE,resolved,NA
Hong Kong Baptist University,Hong Kong,NA,TRUE,resolved,NA
Hong Kong University of Science and Technology,Hong Kong,NA,TRUE,resolved,NA
Hubei Luojia Laboratory,China,NA,TRUE,resolved,NA
Huizhou University,China,NA,TRUE,resolved,NA
Humboldt-Universität zu Berlin,Germany,NA,TRUE,resolved,NA
Hydration Technology Innovations,NA,NA,TRUE,unknown,NA
Hydro Tasmania,Australia,NA,TRUE,resolved,NA
"Hydroacoustic Technology, Inc.",United States,Washington,TRUE,resolved,NA
"HydroFocus, Inc.",United States,California,TRUE,resolved,NA
Hydrologic Solutions Limited,United Kingdom,NA,TRUE,resolved,NA
Hydroprose International Consulting,NA,NA,TRUE,unknown,NA
"HydroQual, Inc.",United States,New Jersey,TRUE,resolved,NA
ICF International,United States,NA,TRUE,resolved,NA
Idaho Department of Water Resources,United States,Idaho,TRUE,resolved,NA
Idaho State University,United States,Idaho,TRUE,resolved,NA
IGAD Climate Prediction and Applications Centre,Kenya,NA,TRUE,resolved,NA
IHE Delft Institute for Water Education,Netherlands,NA,TRUE,resolved,NA
Illinois State Geological Survey,United States,Illinois,TRUE,resolved,NA
Illinois State Water Survey,United States,Illinois,TRUE,resolved,NA
Illinois Sustainable Technology Center,United States,Illinois,TRUE,resolved,NA
Imperial College London,United Kingdom,NA,TRUE,resolved,NA
Indian Institute of Technology Madras,India,NA,TRUE,resolved,NA
"Indiana University, Bloomington",United States,Indiana,TRUE,resolved,NA
Innovyze,United States,NA,TRUE,resolved,NA
INRAE,France,NA,TRUE,resolved,NA
Institut de Ciència i Tecnologia Ambientals,Spain,NA,TRUE,resolved,NA
Institut für Atmosphäre und Klima,NA,NA,TRUE,unknown,NA
Institut National de Recherche en Informatique et en Automatique,France,NA,TRUE,resolved,NA
"Institute for Agro-Environmental Sciences, NARO",Japan,NA,TRUE,resolved,NA
Institute for Applied Sustainability Research,NA,NA,TRUE,unknown,NA
Institute for Basic Science,South Korea,NA,TRUE,resolved,NA
Institute for Marine and Antarctic Studies,Australia,NA,TRUE,resolved,NA
Institute of Agrifood Research and Technology,Spain,NA,TRUE,resolved,NA
Institute of Ecosystem Studies,United States,New York,TRUE,resolved,NA
Institute of Nuclear-Agricultural Science,NA,NA,TRUE,unknown,NA
"Instituto Argentino de Nivologia, Glaciologia y Ciencias Ambientales",Argentina,NA,TRUE,resolved,NA
Instituto de Biodiversidad Neotropical,Argentina,NA,TRUE,resolved,NA
Instituto de Física de Cantabria,Spain,NA,TRUE,resolved,NA
Instituto Nacional de Investigación Agropecuaria,Uruguay,NA,TRUE,resolved,NA
Instituto Nacional de Pesquisas da Amazônia,Brazil,NA,TRUE,resolved,NA
Instituto Nacional de Pesquisas Espaciais,Brazil,NA,TRUE,resolved,NA
Instituto Politécnico de Setúbal,Portugal,NA,TRUE,resolved,NA
Instituto Superior Técnico,Portugal,NA,TRUE,resolved,NA
Instituto Venezolano de Investigaciones Científicas,Venezuela,NA,TRUE,resolved,NA
Inter-American Development Bank,United States,NA,TRUE,resolved,NA
INTERA Incorporated,United States,NA,TRUE,resolved,NA
Interaction Sol Plante Atmosphère,France,NA,TRUE,resolved,NA
Interagency Ecological Program,United States,California,TRUE,resolved,NA
International Atomic Energy Agency,Austria,NA,TRUE,resolved,NA
International Center for Agricultural Research in Dry Areas,NA,NA,TRUE,unknown,NA
International Center for Agricultural Research in the Dry Areas,Lebanon,NA,TRUE,resolved,NA
International Centre for Integrated Mountain Development,Nepal,NA,TRUE,resolved,NA
International Livestock Research Institute,Kenya,NA,TRUE,resolved,NA
International Rice Research Institute,Philippines,NA,TRUE,resolved,NA
International Union for Conservation of Nature and Natural Resources,Switzerland,NA,TRUE,resolved,NA
