doi,decision,reviewed_at
10.1111/biom.13267,keep,2026-04-06 19:30:40
10.1007/s13253-024-00649-3,keep,2026-04-06 19:30:59
10.1016/j.memsci.2010.04.032,keep,2026-04-06 19:35:35
10.1016/j.rse.2012.11.024,keep,2026-04-06 19:36:14
10.1016/j.soildyn.2015.01.004,keep,2026-04-06 19:36:30
10.1061/(ASCE)GT.1943-5606.0002101,keep,2026-04-06 19:36:43
10.1061/(ASCE)GT.1943-5606.0002145,keep,2026-04-06 19:36:57
10.1061/(ASCE)GT.1943-5606.0002372,keep,2026-04-06 19:37:11
10.1016/j.jcis.2009.03.063,unsure,2026-04-06 19:38:00
10.1016/j.jcis.2014.08.042,keep,2026-04-06 19:38:53
10.1016/j.memlet.2023.100062,keep,2026-04-06 19:39:23
10.1016/j.memsci.2006.02.041,keep,2026-04-06 19:39:36
10.1016/j.memsci.2010.10.067,keep,2026-04-06 19:42:24
10.1016/j.memsci.2013.06.064,keep,2026-04-06 19:44:26
10.1016/j.watres.2007.05.034,keep,2026-04-06 19:45:01
10.1021/acsestwater.4c00298,keep,2026-04-06 19:45:49
10.15447/sfews.2018v16iss3art5,keep,2026-04-06 19:46:27
10.1002/etc.5900,keep,2026-04-06 19:47:36
